goodreads_book_id,isbn,authors,original_publication_year,original_title
9462795,62011995,Josephine Angelini,2011,Starcrossed
7739934,312590989,Alyson Noel,2010,Night Star
67238,553282980,N.H. Kleinbaum,1988,Dead Poets Society 
63720,552154229,Terry Pratchett,1999,The Fifth Elephant
1524173,1741661285,John Flanagan,2006,The Sorcerer in the North
639864,876120834,Paramahansa Yogananda,1946,Autobiography of a Yogi
9595650,345522494,Kevin Hearne,2011,"Hexed (Iron Druid Chronicles, #2)"
1325218,590431978,"Alvin Schwartz, Stephen Gammell",1981,Scary Stories to Tell in the Dark
26109394,525955097,Harlan Coben,2016,Fool Me Once
27323,679721037,John Hersey,1946,Hiroshima
6316171,316041440,Jennifer Brown,2009,Hate List
15283043,62235656,Kasie West,2013,
3873,517223120,Karen Armstrong,1975,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam"
16131032,316129070,James S.A. Corey,2013,Abaddon's Gate
5932,143039962,"Pablo Neruda, W.S. Merwin, Cristina García",1924,Veinte poemas de amor y una canción desesperada
382549,425116840,Tom Clancy,1988,The Cardinal of the Kremlin
1062516,590930028,David Shannon,1998,"No, David!"
18414,140449108,"Thomas More, Paul Turner",1516,"Libellus vere aureus, nec minus salutaris quam festivus, de optimo rei publicae statu deque nova insula Utopia"
1099301,316113662,"Pseudonymous Bosch, Gilbert Ford",2007,The Name of This Book Is Secret
18053060,62280678,Danielle  Paige,2014,Dorothy Must Die
16429,553804790,Dean Koontz,2006,The Husband
7048800,385501129,Aimee Bender,2010,The Particular Sadness of Lemon Cake
6588,446610224,James Patterson,2003,The Big Bad Wolf  
533465,385722206,"Dai Sijie, Ina Rilke",2000,Balzac et la Petite Tailleuse chinoise
18813642,62282719,Roxane Gay,2014,Bad Feminist 
226709,671729470,V.C. Andrews,1980,Petals on the Wind
6690,375814256,"Roald Dahl, Quentin Blake",1975,Danny: The Champion of the World
9160695,1594202842,Amy Chua,2011,
1192,1400052580,Giada De Laurentiis,2005,Everyday Italian: 125 Simple and Delicious Recipes
6537,425204693,Patricia Cornwell,1995,From Potter's Field
84736,446619035,James Patterson,2005,"Mary, Mary"
19427193,8188575704,Ravinder Singh,2007,I Too Had A Love Story
25051,64401480,"Betty MacDonald, Alexandra Boiger",1947,Mrs. Piggle-Wiggle
58962,312941919,Michael Connelly,1997,Trunk Music
18505796,62265423,Dan   Harris,2014,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works"
120230,1400054346,"Ina Garten, Quentin Bacon",2006,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again
32504,446690449,Michael Connelly,1998,Blood Work
41821,1857989341,Isaac Asimov,1972,The Gods Themselves
6393047,545060478,Peter Lerangis,2010,
7742,60838744,Sena Jeter Naslund,1999,
13570,345470575,"CLAMP, Anthony Gerard",2004,ツバサ-RESERVoir CHRoNiCLE- 1
8962,316905712,Darren Shan,2000,"Cirque Du Freak (Cirque du Freak, #1) "
297627,1563898586,"Alan Moore, Kevin O'Neill",2000,"The League of Extraordinary Gentlemen, Vol. I"
169756,763622591,M.T. Anderson,2002,Feed
3819326,425226921,Nalini Singh,2009,
752900,486275485,"Euripides, Rex Warner",-431,Mήδεια
6342491,1423118235,Cinda Williams Chima,2009,The Demon King
821056,842314296,Hannah Hurnard,1955,Hinds' Feet on High Places
38333,037542380X,Charles Burns,1995,Black Hole
19358975,1607069318,"Brian K. Vaughan, Fiona Staples",2014,"Saga, Volume Three"
20263040,804178747,Lee Child,2014,Personal
15994634,1250028647,Therese Anne Fowler,2013,Z: A Novel of Zelda Fitzgerald
4979,081297736X,Kurt Vonnegut Jr.,2005,A Man Without a Country
25893693,1101883073,Martha Hall Kelly,2016,Lilac Girls
552894,316017701,"James Patterson, Maxine Paetro",2008,7th Heaven
23664710,593073894,Lee Child,2015,Make Me
18428067,770436420,Anthony Marra,2013,A Constellation of Vital Phenomena
13414676,307594033,Will Schwalbe,2012,The End of Your Life Bookclub
1672727,1416913184,Lauren Barnholdt,2007,Two-Way Street
1814843,174166134X,John Flanagan,2006,The Siege of Macindaw
49221,60652381,C.S. Lewis,1961,A Grief Observed
22416,1563894459,"Warren Ellis, Darick Robertston, Garth Ennis",1998,"Transmetropolitan, Vol. 1: Back on the Street"
13833,1416903372,Tamora Pierce,1994,"Emperor Mage (Immortals, #3)"
8099187,307590615,George W. Bush,2010,Decision Points
386286,64400581,"Jean Craighead George, John Schoenherr",1972,Julie of the Wolves
37743,033039780X,Judy Blume,1975,Forever . . .
22609391,1476728747,David McCullough,2015,The Wright Brothers
31231,752858556,Robert Ludlum,1979,The Matarese Circle
3147367,1400063256,Jon Meacham,2008,American Lion: Andrew Jackson in the White House
15842230,446573051,David Baldacci,2012,The Forgotten
16065004,765378558,Brandon Sanderson,2015,Shadows of Self
17262155,345807952,Helen Fielding,2013,Mad About the Boy
30633,6280897,C.S. Lewis,1960,The Four Loves
11010251,042524413X,Alyson Richman,2011,The Lost Wife
10505,847826465,"Umberto Eco, Girolamo De Michele, Alastair McEwen",2004,Storia della bellezza
18765,067972477X,Robert Graves,1934,"I, Claudius"
13326831,547959109,Joelle Charbonneau,2013,The Testing
17908462,345542886,Janet Evanovich,2013,Takedown Twenty
13628209,1469984016,Kirsty Moseley,2011,The Boy Who Sneaks in My Bedroom Window
13829,037581468X,Tamora Pierce,2006,Terrier
8788554,312662750,Darynda Jones,2011,First Grave on the Right
18039963,1451651694,"Amanda Lindhout, Sara Corbett",2013,A House in the Sky
9615347,1596437138,Vera Brosgol,2011,Anya's Ghost
9912,067978148X,Bret Easton Ellis,1987,The Rules of Attraction
30262,60572973,Kim Harrison,2005,"The Good, the Bad, and the Undead"
66693,786942460,R.A. Salvatore,1988,The Crystal Shard
44597,140274219,Jean Rhys,1966,Wide Sargasso Sea
16286,316296198,John Fowles,1965,The Magus
189811,552148032,David Eddings,1988,King of the Murgos
402014,60288132,Louise Rennison,2000,"It's OK, I'm Wearing Really Big Knickers! (Confessions of Georgia Nicolson, #2)"
20821614,1476785597,Caroline Kepnes,2014,You
13618440,316134074,Laini Taylor,2014,Dreams of Gods & Monsters
1205297,385525001,John Grisham,2007,Playing For Pizza
9284655,1402784031,Colleen Houck,2011,Tiger's Curse
105,441102670,Frank Herbert,1985,Chapterhouse: Dune
20821284,399252517,Jacqueline Woodson,2014,Brown Girl Dreaming
7094569,316081051,Mira Grant,2010,Feed
3476,142000205,Gwyn Hyman Rubio,1998,Icy Sparks
77394,553213180,L.M. Montgomery,1917,Rainbow Valley
75024,345476166,Steve Berry,2006,The Templar Legacy
89165,449000656,Sue Grafton,1993,J is for Judgment (Kinsey Millhone #10)
4836308,1401340903,Katherine Howe,2009,The Physick Book of Deliverance Dane
55401,765310023,Steven Erikson,2000,Deadhouse Gates
17983690,1743342373,Kylie Scott,2013,Lick
78982,312997132,Jeffrey Archer,1976,"Not a Penny More, Not a Penny Less"
2315892,575082453,Joe Abercrombie,2009,Best Served Cold
18635113,62309668,Emma Healey,2014,Elizabeth Is Missing
154424,1416505016,Vince Flynn,2005,Consent to Kill
8171378,679444327,Isabel Wilkerson,2010,The Warmth of Other Suns: The Epic Story of America's Great Migration 
20706317,316399620,Claire North,2014,The First Fifteen Lives of Harry August
13623012,62206281,Carlos Ruiz Zafón,2011,El prisionero del cielo
11366,345476093,"Barbara W. Tuchman, Robert K. Massie",1962,The Guns of August
937249,671047345,Vince Flynn,2001,Separation of Power
71865,439829100,John Marsden,1993,"Tomorrow, When the War Began"
6514074,1599951495,"Robert M. Edsel, Bret Witter",2009,"Monuments Men: Allied Heroes, Nazi Thieves and the Greatest Treasure Hunt in History "
18140047,374346674,Ava Dellaira,2014,Love Letters to the Dead
27071490,1101947136,Yaa Gyasi,2016,Homegoing
7237456,393068471,Mary Roach,2010,Packing for Mars: The Curious Science of Life in the Void 
3410425,446195502,David Baldacci,2008,Divine Justice
3918010,785132619,"Mark Millar, John Romita Jr., Rob Liefeld",2010,Kick-Ass
408615,1401908977,"Immaculée Ilibagiza, Steve Erwin",2006,Left to Tell: Discovering God Amidst the Rwandan Holocaust
6686101,61449121,Michael  Grant,2011,Plague
5344,321107217,Charles Dickens,1854,Hard Times: For These Times
16033842,2877068161,Joël Dicker,2011,La Vérité sur l'affaire Harry Quebert
3722183,316176532,Kate Atkinson,2015,A God in Ruins
6681454,052595158X,Harlan Coben,2010,Caught
46202,373802498,Maria V. Snyder,2006,Magic Study
667985,1931514925,"CLAMP, Shirley Kubo",2001,ちょびっツ #1
57891,156931778X,"Koushun Takami, Yuji Oniki",1999,バトル・ロワイアル
5126859,553807218,Sarah Addison Allen,2010,The Girl Who Chased the Moon
107301,1842323008,Nevil Shute,1950,A Town Like Alice
18667945,039916927X,Sophia Amoruso,2014,
2485785,778325318,Diane Chamberlain,2006,The Secret Life Of CeeCee Wilkes
188230,445406518,Elizabeth Peters,1975,Crocodile on the Sandbank
6070950,425230074,Nora Roberts,2009,Bed of Roses
19670,425147584,Tom Clancy,1994,Debt of Honor
17343,156904365,C.S. Lewis,1956,Till We Have Faces
224500,142406120,Anthony Horowitz,2001,Point Blanc
15676,425181111,Dean Koontz,1986,Strangers
93794,451209338,Daniel Silva,2000,The Kill Artist
490867,1844280594,Mo Willems,2004,Knuffle Bunny:  A Cautionary Tale
47558,747541604,Edward Gorey,1963,The Gashlycrumb Tinies
13147230,62067753,"Terry Pratchett, Stephen Baxter",2012,The Long Earth
1319,446691437,"Steven Pressfield, Robert McKee",2002,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles
11438,679723056,Raymond Carver,1981,What We Talk About When We Talk About Love: Stories
104379,670061107,Sarah Dessen,1996,That Summer
10790290,316187747,Michael J. Sullivan,2011,Theft of Swords
17286747,1250010691,Diane Chamberlain,2013,Necessary Lies
218467,449208133,"Larry Niven, Jerry Pournelle",1977,Lucifer's Hammer
114144,425205754,Nora Roberts,1996,Montana Sky
31548,451530179,"W. Somerset Maugham, Benjamin DeMott, Maeve Binchy",1915,Of Human Bondage
18879761,451471474,Gayle Forman,2015,I Was Here
99110,525467262,"A.A. Milne, Ernest H. Shepard",1961,
32527,553584537,Lisa Gardner,2004,
153542,395169615,Virginia Lee Burton,1938,Mike Mulligan and His Steam Shovel
17383994,62278789,Veronica Roth,2013,
116296,61161640,Terry Pratchett,2007,Making Money
7074000,1423368991,Nora Roberts,2010,Happy Ever After
10908,140230270,Jodi Picoult,1993,Harvesting the Heart
16150830,1423157516,Alexandra Bracken,2013,Never Fade
3257136,446407410,"Vicki Myron, Bret Witter",2008,Dewey: The Small-Town Library Cat Who Touched the World
16248113,62104896,Soman Chainani,2013,The School for Good and Evil
30259,60788380,Kim Harrison,2007,For a Few Demons More 
20821043,670026328,Tana French,2014,The Secret Place
6604209,076536543X,Brandon Sanderson,2009,Mistborn Trilogy Boxed Set
227729,671024094,Jeffery Deaver,1998,
6545536,545060486,Gordon Korman,2010,The Emperor's Code
808853,618164413,"Margret Rey, H.A. Rey",1969,The Complete Adventures of Curious George
11082037,316069418,Michael Connelly,2011,The Drop
500503,189221301X,Naoko Takeuchi,1992,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1]
17331349,62218360,"Steven D. Levitt, Stephen J. Dubner",2014,
13436373,545326990,"Raina Telgemeier, Gurihiru",2012,Drama
3110,074326004X,Sarah Vowell,2005,Assassination Vacation
92121,380014300,Roger Zelazny,1970,Nine Princes in Amber
18144053,1451693567,Alice Hoffman,2014,The Museum of Extraordinary Things
3220405,765304961,Orson Scott Card,2008,"Ender in Exile (The Ender Quintet, #2)"
421129,042519485X,MaryJanice Davidson,2004,Undead and Unwed
4005,722536542,Paulo Coelho,1996,O Monte Cinco
35519,385418868,"Joseph Campbell, Bill Moyers",1988,The Power of Myth
21418013,765375869,John Scalzi,2014,Lock In
17380041,385351232,Jo Baker,2013,Longbourn
21412202,1476764026,"Cary Elwes, Joe Layden, Various, Rob Reiner",2014,As You Wish: Inconceivable Tales from the Making of The Princess Bride
773276,399230033,Peggy Rathmann,1994,"Good Night, Gorilla"
13522285,62217135,Robyn Schneider,2013,"Severed Heads, Broken Hearts"
6389704,054506046X,Jude Watson,2009,"In Too Deep (The 39 Clues, Book 6)"
138269,1840187166,"Frank W. Abagnale, Stan Redding",1980,Catch Me If You Can
30248,515133876,Laurell K. Hamilton,2001,"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)"
119760,684865181,Gary Zukav,1989,
16099159,345545834,J. Kenner,2013,Claim Me
3483,067003777X,Marisha Pessl,2006,Special Topics in Calamity Physics
18498558,62259652,Josh Malerman,2014,Bird Box
12476820,62071041,Dan Wells,2012,Partials
72223,618773479,Timothy Egan,2006,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl
17802747,758278454,Ellen Marie Wiseman,2013,What She Left Behind
3047850,006156608X,Sara Shepard,2008,Wicked
184655,1416516352,Vince Flynn,1999,Transfer of Power
395090,60931728,Sylvia Plath,1965,Ariel
13223349,1401235417,"Scott Snyder, Greg Capullo, Jonathan Glapion",2012,"Batman, Volume 1: The Court of Owls"
33457,60735422,Christopher Moore,1992,Practical Demonkeeping
46438,451219953,Raymond Khoury,2006,The Last Templar
6534932,345518519,Kathy Griffin,2009,Official Book Club Selection: A Memoir According to Kathy Griffin
240976,60932147,"Milan Kundera, Aaron Asher",1979,Kniha smíchu a zapomnění
479415,440222656,Nicholas Evans,1995,The Horse Whisperer
46191,1580627560,Sherry Argov,2009,Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own In A Relationship
3047851,61566179,Sara Shepard,2010,Wanted
1225621,60788704,Kim Harrison,2008,The Outlaw Demon Wails 
433567,048627263X,"Edwin A. Abbott, Banesh Hoffmann",1884,Flatland: A Romance of Many Dimensions
7728889,031612611X,Libba Bray,2012,The Diviners
3798703,375851798,Tim Tharp,2008,The Spectacular Now
14142,61129739,"Erich Fromm, Peter D. Kramer, Rainer Funk",1956,The Art of Loving
537070,043979143X,Suzanne Collins,2007,Gregor and the Code of Claw
64218,380821214,Terry Pratchett,1990,Eric
25102,1563890933,"Neil Gaiman, Shawn McManus, Colleen Doran, Bryan Talbot, George Pratt, Stan Woch, Dick Giordano, Todd Klein",1993,The Sandman: A Game of You
9302,60731486,Marian Keyes,2004,The Other Side of the Story
16729,553381539,Pat Conroy,1975,Beach Music
46601,842313079,Francine Rivers,1994,"An Echo in the Darkness (Mark of the Lion, #2)"
42933,440184622,James Clavell,1966,Tai-Pan
8573020,399157220,Eleanor Brown,2011,The Weird Sisters
34498,413771164,Terry Pratchett,2000,The Truth
10762469,312358342,Tom Perrotta,2011,The Leftovers
66354,60920432,Mihaly Csikszentmihalyi,1990,Flow: The Psychology of Optimal Experience
23454,1932796789,"Margaret Weis, Tracy Hickman",1985,
9219901,1439177805,Portia de Rossi,2010,
693016,312949804,Lisa Kleypas,2007,Mine Till Midnight
96123,1416522913,"Carl Bernstein, Bob Woodward",1974,All the President's Men
7263429,399254838,Andrea Cremer,2011,
20564,141439629,"George Eliot, A.S. Byatt",1860,The Mill on the Floss
7334201,1400066409,Gary Shteyngart,2010,Super Sad True Love Story
407813,441068804,Robin McKinley,1982,
13570854,451239350,J.R. Ward,2013,Lover at Last
10661081,159514451X,"Michelle Rowen, Richelle Mead",2011,
121732,6280838,C.S. Lewis,1955,Surprised by Joy: The Shape of My Early Life
24113,465026567,Douglas R. Hofstadter,1979,"Gödel, Escher, Bach: An Eternal Golden Braid"
153780,375828788,Tamora Pierce,2004,Trickster's Queen
95819,805005013,"Robert Frost, Edward Connery Lathem",1969,
8953,439286069,Rodman Philbrick,1993,Freak the Mighty
15790873,316212822,Jennifer E. Smith,2013,This Is What Happy Looks Like
53817,310245656,Philip Yancey,1997,What's So Amazing About Grace?
10816297,1416595201,Vince Flynn,2012,Kill Shot
74389,553381652,Jean M. Auel,1990,The Plains of Passage
17733898,1419711326,Jeff Kinney,2013,Hard Luck
9838,316159417,"Åsne Seierstad, Ingrid Christopherson",2002,Bokhandleren i Kabul
833710,743437314,D.J. MacHale,2002,The Merchant of Death
4703581,345497511,China Miéville,2009,The City & The City
128759,1416510567,Kathy Reichs,2001,Fatal Voyage
4345498,441017029,Ilona Andrews,2009,Magic Strikes
15748898,1478322306,Chelsea M. Cameron,2012,My Favorite Mistake
124918,425176088,Arthur Hailey,1968,Airport
7201913,446545244,James Patterson,2011,Angel
4983,791071685,"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",2002,Kurt Vonnegut's Cat Cradle
91248,192751077,"Beverly Cleary, Alan Tiegreen",1975,Ramona the Brave 
216422,553564927,Timothy Zahn,1993,Star Wars: The Last Command
13578175,1616960922,Brandon Sanderson,2012,The Emperor's Soul
2906039,1416584080,Stephen King,2008,Just After Sunset
201114,786851716,Patricia McCormick,2006,Sold
552887,316015059,James Patterson,2007,Double Cross
27822,192838997,"Alexander Pushkin, James E. Falen",1833,Евгений Онегин: Роман в стихах 
13138635,1423171020,"Amie Kaufman, Meagan Spooner",2013,These Broken Stars
2986865,670062278,Alison Goodman,2008,The Two Pearls of Wisdom
4538,689862210,E.L. Konigsburg,1996,The View from Saturday
7933615,312594429,"P.C. Cast, Kristin Cast",2012,Hidden
11454587,1423121325,Rachel Hawkins,2012,Spell Bound
32979,1557091552,"Carolyn Keene, Russell H. Tandy, Sara Paretsky",1930,"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)"
33810,446679089,Nelson DeMille,1997,Plum Island
325421,60775971,"Hugh Lofting, Michael Hague",1920,The Story of Doctor Dolittle
10911,743454510,Jodi Picoult,2003,Second Glance
94803,069401298X,Arnold Lobel,1971,Frog and Toad Together
6219656,1563127873,Shirley Jackson,1948,The Lottery
58822,345459202,Adriana Trigiani,2000,Big Stone Gap
74824,345485750,Steve Berry,2007,The Alexandria Link
7896345,61797022,Kelley Armstrong,2011,The Gathering
9833184,1595143203,Richelle Mead,2013,The Fiery Heart
6479550,441018521,Ilona Andrews,2010,Magic Bleeds
25152052,1501116975,"Isabel Allende, Nick Caistor, Amanda Hopkinson",2015,El amante japonés
47990,552154164,Terry Pratchett,1997,Jingo
704043,553589377,Lara Adrian,2007,Kiss of Midnight
32071,375753737,"D.H. Lawrence, Geoff Dyer",1913,Sons and Lovers
8155,031235326X,Barbara Taylor Bradford,1979,A Woman of Substance 
15791154,1455521213,David Baldacci,2013,The Hit
22200,441013678,William Gibson,1986,Count Zero
24472,140006466X,Lisa See,2007,Peony in Love
5231173,316051594,Sarah Ockler,2009,Twenty Boy Summer
81922,446677477,"Robert T. Kiyosaki, Sharon L. Lechter",1998,Cashflow Quadrant: Rich Dad's Guide to Financial Freedom
7058405,1605980927,"Camilla Läckberg, Steven T. Murray",2004,Isprinsessan
22649,767907817,Jane Green,2000,Bookends
88071,765316978,John Scalzi,2007,The Last Colony
826582,60283289,"Laura Joffe Numeroff, Felicia Bond",2002, 
18593175,147677143X,Colleen Hoover,2013,Finding Cinderella
9298,60086246,Marian Keyes,1999,Last Chance Saloon
17156015,148234873X,Georgia Cates,2013,Beauty from Pain
43339,1416507779,Mary Higgins Clark,1975,Where Are the Children?
77366,441328091,Robin McKinley,1984,
7723,1593080298,"Franz Kafka, Jason Baker, Donna Freed",1915,Die Verwandlung und andere Erzählungen
218357,006079156X,Thrity Umrigar,2006,The Space Between Us
3049,451528182,"Unknown, Burton Raffel, Neil D. Isaacs",1390,Gawayn and þe Grene Knyȝt
4921,140621334,Jerome K. Jerome,1889,Three Men in a Boat (To Say Nothing of the Dog)
214614,345326490,Edward Abbey,1968,Desert Solitaire
6419,312306342,Janet Evanovich,2007,Plum Lovin'
56454,159562015X,Tom Rath,2007,Strengths Finder 2.0
9570,1842431293,Tom Robbins,1971,Another Roadside Attraction
92163,517223546,Edward Rutherfurd,1987,Sarum: The Novel of England
43328,6178731,Sidney Sheldon,1980,Rage of Angels
8718952,1595144331,Richelle Mead,2010,
9395215,142998192X,Alyson Noel,2011,Everlasting
17255435,1481280767,Bella Forrest,2012,
586472,553381350,Tom Wolfe,1979,The Right Stuff
129645,312349998,Madeleine Wickham,2000,Cocktails for Three
32255,345476980,Tess Gerritsen,2006,Vanish
33441,006056668X,Christopher Moore,2003,"Fluke: Or, I Know Why the Winged Whale Sings"
899492,871917726,"Edgar Allan Poe, Byron Glaser, Bill D. Fountain",1843,The Tell-Tale Heart
7362158,1594487561,Jean Kwok,2010,Girl in Translation
17565845,62014552,Lauren Oliver,2014,Panic
24096,1579124577,"Leonardo da Vinci, H. Anna Suh",1519,
217432,345450744,Kristin Hannah,2003,Between Sisters
17920175,1477808701,Blake Crouch,2013,Wayward
1375896,60882077,"Angie Sage, Mark Zug",2008,Queste
23305614,553536516,Sophie Kinsella,2015,Finding Audrey
603422,913668680,Mollie Katzen,1977,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York"
105551,7158475,Dr. Seuss,1965,Fox in Socks
2517,375706852,"Orhan Pamuk, Erdağ M. Göknar",1998,Benim Adım Kırmızı
78250,671227424,Carlos Castaneda,1968,The Teachings of Don Juan: A Yaqui Way of Knowledge
9509287,446573108,David Baldacci,2011,The Sixth Man
193093,689878362,Marcia Brown,1947,Stone Soup (Stories to Go!)
213647,786839171,Cinda Williams Chima,2006,The Warrior Heir
19004663,345542924,Janet Evanovich,2014,Top Secret Twenty-One
2223324,075791084X,John   Williams,2003,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D
16791,1852864982,"Neil Gaiman, Chris Bachalo, Mark Buckingham, Tori Amos",1993,Death: the High Cost of Living
229123,310241634,Catherine Marshall,1967,Christy
13623150,62208195,Tahereh Mafi,2012,Destroy Me
84839,553588079,Lisa Gardner,2006,Gone
40745,1400062756,Carol S. Dweck,2006,Mindset: The New Psychology of Success
5972040,545060443,Jude Watson,2009,"Beyond the Grave (The 39 Clues, #4)"
26435,6280935,C.S. Lewis,1940,The Problem of Pain
2527900,300122233,"Richard H. Thaler, Cass R. Sunstein",2008,"Nudge: Improving Decisions About Health, Wealth, and Happiness"
210329,1416949658,Susan Cooper,1973,The Dark Is Rising
23754479,374239215,Jonathan Franzen,2015,Purity
32446,451205421,"Richard Paige, Dean Koontz",1985,The Door to December
53625,747266921,James Patterson,2002,Four Blind Mice
3975186,312364105,Kristin Hannah,2009,True Colors
9595,385334230,Kurt Vonnegut Jr.,1976,Slapstick
38315,812975219,Nassim Nicholas Taleb,2001,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
14975,425213978,Kate Mosse,2005,Labyrinth
7493,375705244,Joseph J. Ellis,2000,Founding Brothers: The Revolutionary Generation
76679,553565079,Isaac Asimov,1993,Forward the Foundation
6919272,3401063472,Kerstin Gier,2010,Saphirblau
16142053,307700666,Lawrence Wright,2013,"Going Clear: Scientology, Hollywood, and the Prison of Belief"
7619292,759529434,"Young Kim, Stephenie Meyer",2010,Twilight: The Graphic Novel
56034,99478331,John Fowles,1969,The French Lieutenant's Woman
732562,486223051,"Samuel Taylor Coleridge, Gustave Doré",1798,The Rime of the Ancient Mariner
240130,920236162,"Robert Munsch, Michael Martchenko",1980,The Paper Bag Princess
163977,582461502,John Steinbeck,1935,Tortilla Flat
23814,812966295,H. Rider Haggard,1885,King Solomon's Mines
25105,1563891379,"Neil Gaiman, Jill Thompson, Vince Locke, Peter Straub",1994,The Sandman: Brief Lives
3934321,61720771,L.J. Smith,2009,The Return: Nightfall
3467,375828257,Jeanne DuPrau,2004,The People of Sparks
5954,374506841,"Hermann Hesse, Ursule Molinaro",1930,Narziß und Goldmund
25106,1563891069,"Neil Gaiman, Bryan Talbot, Stan Woch, P. Craig Russell, Shawn McManus, John Watkiss, Jill Thompson, Duncan Eagleson, Kent Williams, Todd Klein",1990,The Sandman: Fables and Reflections
17199504,1620401398,Samantha Shannon,2013,The Bone Season
31250,141439963,"Charles Dickens, Helen Small, Stephen Wall",1855,Little Dorrit
175004,142406139,Anthony Horowitz,2003,Eagle Strike
50833,739418378,Jacqueline Susann,1966,Valley of the Dolls
12657,375760385,James A. Michener,1965,The Source
4954,1400033543,Dave Eggers,2002,You Shall Know Our Velocity!
3438000,9770907375,"Radwa Ashour, رضوى عاشور",1994,ثلاثية غرناطة
201126,689853491,"Michael Rosen, Helen Oxenbury",1989,We're Going on a Bear Hunt
6339989,1595142711,Richelle Mead,2009,Vampire Academy Collection
673657,345352661,David Eddings,1985,Guardians of the West
7076706,399156577,Nora Roberts,2010,The Search
13147,446613371,"James Patterson, Howard Roughan",2005,Honeymoon
45252,345461622,Peter F. Hamilton,2004,Pandora's Star
322351,440421853,Thomas Rockwell,1973,How to Eat Fried Worms
269322,439224063,"Edgar Allan Poe, Philip Pullman",1845,The Raven and Other Poems
6335026,077832740X,Heather Gudenkauf,2008,The Weight of Silence
22522808,62330268,Neil Gaiman,2015,Trigger Warning: Short Fictions and Disturbances
106590,068482535X,David Herbert Donald,1995,Lincoln
1811543,441015832,Ilona Andrews,2008,Magic Burns
3698,143039024,"Graham Greene, Robert  Stone",1955,The Quiet American
16062211,1480114480,Katie Ashley,2012,The Proposition
6541,425213382,Patricia Cornwell,1996,Cause of Death
77430,393307050,Patrick O'Brian,1969,Master and Commander
969275,575077352,Akira Toriyama,1985,孫悟空と仲間たち
89187,441009425,Alastair Reynolds,2000,Revelation Space
7134202,316096156,"James Patterson, Maxine Paetro",2010,Private
8205669,312652917,Janet Evanovich,2009,Wicked Appetite
6054449,1416980067,Rachel Renée Russell,2009,Tales from a Not-So-Fabulous Life
14384,1416509879,Kresley Cole,2006,A Hunger Like No Other
10345927,159514398X,Beth Revis,2012,A Million Suns 
28251,1841493155,Trudi Canavan,2002,The High Lord
17383934,62107313,Amy Tan,2013,The Valley of Amazement
3465,446694851,"Nicholas Sparks, Micah Sparks",2004,Three Weeks with My Brother
24781,080508052X,Lloyd Alexander,1968,The High King 
9462812,62004018,Amy Plum,2011,Die for Me
77295,394724550,Anne Morrow Lindbergh,1955,Gift from the Sea
2159,452287081,John Perkins,2004,Confessions of an Economic Hit Man
426504,802130305,"Jorge Luis Borges, Anthony Kerrigan, Anthony Bonner",1944,Ficciones
37304,425141233,John Sandford,1993,Winter Prey
4625,684843323,Ernest Hemingway,1925,The Complete Short Stories of Ernest Hemingway
50033,671037706,Ray Bradbury,1957,Dandelion Wine
43782,009947137X,Anne Rice,1989,The Mummy
6570502,385528752,"Chip Heath, Dan Heath",2010,Switch: How to Change Things When Change Is Hard
243705,99470470,John Fowles,1963,The Collector
183660,60734086,Gail Carson Levine,2006,Fairest
9594,99267543,Kurt Vonnegut Jr.,1997,Timequake
13540215,006218850X,Amanda Coplin,2012,The Orchardist
17262366,767919408,Bill Bryson,2013,One Summer: America 1927
41967,752876821,Maeve Binchy,1996,Evening Class
34919,1857239016,Terry Brooks,1993,The Talismans of Shannara
65840,808516965,L.M. Montgomery,1936,Anne of Windy Poplars
226378,014044176X,"Mikhail Lermontov, Paul Foote",1840,Герой нашего времени
9943,084230052X,Francine Rivers,1997,The Atonement Child
6862,385494246,Ian McEwan,1998,Amsterdam
40923,812966007,Edmund Morris,2001,Theodore Rex
10222,031215125X,M.M. Kaye,1978,The Far Pavilions
2211221,385340567,Lee Child,2008,Nothing to Lose
20819682,1101874082,Paulo Coelho,2014,Adultério
42172,312289510,Donna VanLiere,2001,The Christmas Shoes
196613,762424931,"Rory Freedman, Kim Barnouin",2005,"Skinny Bitch: A No-Nonsense, Tough-Love Guide for Savvy Girls Who Want to Stop Eating Crap and Start Looking Fabulous!"
